=== DATOS DEL PARTICIPANTE ===,,,
Nombre Completo,Edad,Grado o Carrera,Cargo que ocupa
14.5,"¿Contiene almidón?","Contiene almidón",1
15.1,"¿Cuál es el tipo de grasa predominante en este alimento?","Grasas mono-insaturadas",1
15.2,"¿Cuál es el tipo de grasa predominante en este alimento?","Grasas saturadas",1
15.3,"¿Cuál es el tipo de grasa predominante en este alimento?","No estoy seguro/a",1
15.4,"¿Cuál es el tipo de grasa predominante en este alimento?","Grasas saturadas",1
16,"¿Cuál de estos alimentos posee grasas trans?","No estoy seguro/a",1
17,"La cantidad de calcio en un vaso de leche entera comparado con un vaso de leche descremada es:","Mucho mayor",1
18,"¿Cuál de los siguientes nutrientes tiene más calorías por el mismo peso de alimento?","Fibra",1
19,"En comparación con los alimentos mínimamente procesados, los alimentos ultraprocesados son:","Más bajos en sodio",1
20,"¿Cuál de estas enfermedades está relacionada con una baja ingesta de fibra?","Caries dentales",2
21,"¿Cuál de estas enfermedades está relacionada con cuánto azúcar consume la gente?","Caries dentales",1
22,"¿Cuál de estas enfermedades está relacionada con cuánto sodio o sal consume la gente?","Diabetes 2",1
23,"¿Qué recomiendan las GAPA para reducir el riesgo de cáncer?","Comer menos carne roja",1
24,"¿Qué recomiendan las GAPA para prevenir enfermedades cardiovasculares?","Tomar suplementos",1
25,"¿Qué recomiendan las GAPA para prevenir la Diabetes 2?","Comer menos alimentos ultra-procesados",4
26,"¿Cuál de estos alimentos es más probable que eleve el colesterol sanguíneo?","Grasa animal",1
27,"¿Cuál de estos alimentos tiende a elevar más rápidamente la glucemia después de comer?","Pan blanco",1
28,"Para mantener un peso saludable la gente debería eliminar completamente las grasas de su dieta.","En desacuerdo",1
29,"Para mantener un peso saludable la gente debería comer una dieta alta en proteínas.","En desacuerdo",1
30,"Comer pan siempre causa aumento de peso.","En desacuerdo",1
31,"La fibra puede disminuir las probabilidades de aumentar de peso.","En desacuerdo",2
32.1,"¿Ayuda a mantener un peso saludable?","Ayuda",4
32.2,"¿Ayuda a mantener un peso saludable?","No ayuda",1
32.3,"¿Ayuda a mantener un peso saludable?","No ayuda",2
32.4,"¿Ayuda a mantener un peso saludable?","No ayuda",2
32.5,"¿Ayuda a mantener un peso saludable?","No ayuda",1
32.6,"¿Ayuda a mantener un peso saludable?","No ayuda",1
33,"Si alguien tiene un IMC de 20 kg/m² ¿Cuál sería su estado nutricional?","Desnutrición",3
34,"Si alguien tiene un IMC de 30 kg/m² ¿Cuál sería su estado nutricional?","Peso normal",2
35,"¿Cuál de las siguientes formas corporales incrementa el riesgo de enfermedad cardiovascular?","No estoy seguro/a",51
